Country Name,Country Code,Year,Value
United States,USA,1960,180671000
United States,USA,1961,183691000
United States,USA,1962,186538000
United States,USA,1963,189242000
United States,USA,1964,191889000
United States,USA,1965,194303000
United States,USA,1966,196560000
United States,USA,1967,198712000
United States,USA,1968,200706000
United States,USA,1969,202677000
United States,USA,1970,205052000
United States,USA,1971,207661000
United States,USA,1972,209896000
United States,USA,1973,211909000
United States,USA,1974,213854000
United States,USA,1975,215973000
United States,USA,1976,218035000
United States,USA,1977,220239000
United States,USA,1978,222585000
United States,USA,1979,225055000
United States,USA,1980,227225000
United States,USA,1981,229466000
United States,USA,1982,231664000
United States,USA,1983,233792000
United States,USA,1984,235825000
United States,USA,1985,237924000
United States,USA,1986,240133000
United States,USA,1987,242289000
United States,USA,1988,244499000
United States,USA,1989,246819000
United States,USA,1990,249623000
United States,USA,1991,252981000
United States,USA,1992,256514000
United States,USA,1993,259919000
United States,USA,1994,263126000
United States,USA,1995,266278000
United States,USA,1996,269394000
United States,USA,1997,272657000
United States,USA,1998,275854000
United States,USA,1999,279040000
United States,USA,2000,282162411
United States,USA,2001,284968955
United States,USA,2002,287625193
United States,USA,2003,290107933
United States,USA,2004,292805298
United States,USA,2005,295516599
United States,USA,2006,298379912
United States,USA,2007,301231207
United States,USA,2008,304093966
United States,USA,2009,306771529
United States,USA,2010,309321666
United States,USA,2011,311556874
United States,USA,2012,313830990
United States,USA,2013,315993715
United States,USA,2014,318301008
United States,USA,2015,320635163
United States,USA,2016,322941311
United States,USA,2017,324985539
United States,USA,2018,326687501